====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
              |                             8   6   2   2   4   9   9   3   7   5   1   e 
              |                                         4   8   6   2   8   6   3   0   t 
              |                                                         4   8   6   7     
              |                                                                     2     
====================================================================================================================================
          0.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        100.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        200.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        300.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        400.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        500.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        600.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        700.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        800.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
        900.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
       1000.0 | 0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1100.0 | 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1101.4 | 1   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1102.7 | 1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1104.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1105.3 | 1   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0
       1106.6 | 1   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0
       1107.9 | 1   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0
       1109.2 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   0
       1110.5 | 1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   0
       1111.8 | 1   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   0
       1113.1 | 1   0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   0
       1114.4 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   0
       1115.7 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       1117.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       1118.3 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       1119.6 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       1120.9 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       1121.9 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1200.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1300.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1301.1 | 1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1400.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1500.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1501.4 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1502.4 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1600.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1700.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1701.1 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1800.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1900.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1901.4 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1902.7 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       1903.7 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2000.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2100.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2101.1 | 1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2200.0 | 0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2300.0 | 1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2301.4 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2302.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2400.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2500.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2501.1 | 1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2600.0 | 0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2700.0 | 1   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2701.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2702.7 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2704.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2705.0 | 1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2800.0 | 0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2900.0 | 1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       2901.1 | 1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3000.0 | 0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3100.0 | 1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3101.4 | 1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3102.4 | 1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3200.0 | 0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3300.0 | 1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3301.1 | 1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3400.0 | 0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3500.0 | 1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3501.4 | 1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3502.7 | 1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3503.7 | 1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3600.0 | 0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       3700.0 | 1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
