====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   s   r   w   w   w   w   w   w   w   w   w   r   r   r   r   r   r   r   r   s   m   m 
 in 1e-09 sec | l   e   e   r   r   r   r   r   r   r   r   r   e   e   e   e   e   e   e   e   c   o   i 
              | k   n   s   i   i   i   i   i   i   i   i   i   a   a   a   a   a   a   a   a   l   s   s 
              |     d   e   t   t   t   t   t   t   t   t   t   d   d   d   d   d   d   d   d   k   i   o 
              |         t   e   e   e   e   e   e   e   e   e   _   _   _   _   _   _   _   _             
              |             _   _   _   _   _   _   _   _   _   o   o   o   o   o   o   o   o             
              |             e   i   i   i   i   i   i   i   i   u   u   u   u   u   u   u   u             
              |             n   n   n   n   n   n   n   n   n   t   t   t   t   t   t   t   t             
              |             a   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _             
              |             b   7   7   7   7   7   7   7   7   7   7   7   7   7   7   7   7             
              |             l   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _             
              |             e   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0             
              |                 _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _             
              |                 7   6   5   4   3   2   1   0   7   6   5   4   3   2   1   0             
====================================================================================================================================
          0.0 | 0   0   1   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
         50.0 | 1   0   1   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
        100.0 | 0   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
        150.0 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
        200.0 | 0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
        250.0 | 1   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
        251.0 | 1   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   0
        251.2 | 1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        300.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        350.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        400.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        450.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        500.0 | 0   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        550.0 | 1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        600.0 | 0   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        602.0 | 0   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
        650.0 | 1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0
        650.5 | 1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   0
        650.9 | 1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   1   0
        700.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   1   0
        702.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   1   0
        750.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   1   1   0
        750.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   1   0
        750.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   1   0
        800.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   1   0
        802.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   1   1   0
        850.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   1   1   0
        850.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   1   0
        850.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   1   0
        900.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   1   0
        902.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   1   1   0
        950.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   1   1   0
        950.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   1   0
        950.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   0
       1000.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   0
       1002.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   1   1   0
       1050.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   1   1   0
       1050.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   0
       1050.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   1   0
       1100.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   1   0
       1102.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   0
       1150.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   0
       1150.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   1   0
       1150.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   1   0
       1200.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   1   0
       1202.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   1   1   0
       1250.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   1   1   0
       1250.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   1   0
       1250.9 | 1   0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   0
       1300.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   0
       1302.0 | 0   0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   1   1   0
       1350.0 | 1   0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   1   1   0
       1350.5 | 1   0   0   0   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   0
       1350.9 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1400.0 | 0   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1450.0 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1500.0 | 0   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1550.0 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1600.0 | 0   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1650.0 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1700.0 | 0   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
       1750.0 | 1   0   0   0   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   0   0   0
